# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2024-04-01T00:00:00.0
# Date end (ISO 8601): 2025-04-01T00:00:00.0
# Latitude (positive North, ISO 19115): 27.8974
# Longitude (positive East, ISO 19115): 78.0880
# Altitude (m): 191.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-04-25
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI/DNI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2024-04-04T03:00:00.0/2024-04-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T04:00:00.0/2024-04-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T05:00:00.0/2024-04-04T06:00:00.0;6.6239;1.5517;0.0743;1.4774;1.8852
2024-04-04T06:00:00.0/2024-04-04T07:00:00.0;220.4958;95.4809;32.7740;62.7068;166.4315
2024-04-04T07:00:00.0/2024-04-04T08:00:00.0;521.7994;309.8935;170.0129;139.8806;434.0667
2024-04-04T08:00:00.0/2024-04-04T09:00:00.0;791.9329;535.8397;346.9121;188.9275;593.7390
2024-04-04T09:00:00.0/2024-04-04T10:00:00.0;1012.5011;727.1398;505.9984;221.1414;679.7502
2024-04-04T10:00:00.0/2024-04-04T11:00:00.0;1168.4883;864.2278;622.6583;241.5694;725.5765
2024-04-04T11:00:00.0/2024-04-04T12:00:00.0;1249.2812;935.4375;682.8854;252.5521;744.5273
2024-04-04T12:00:00.0/2024-04-04T13:00:00.0;1249.3931;935.1158;680.3851;254.7307;741.7015
2024-04-04T13:00:00.0/2024-04-04T14:00:00.0;1168.8363;862.5302;614.4531;248.0770;715.6788
2024-04-04T14:00:00.0/2024-04-04T15:00:00.0;1013.1223;724.3245;493.5606;230.7639;662.4384
2024-04-04T15:00:00.0/2024-04-04T16:00:00.0;792.8836;532.8317;333.6725;199.1592;570.0229
2024-04-04T16:00:00.0/2024-04-04T17:00:00.0;523.1495;307.6991;160.9128;146.7863;409.3280
2024-04-04T17:00:00.0/2024-04-04T18:00:00.0;222.3202;95.2257;30.3274;64.8983;152.5782
2024-04-04T18:00:00.0/2024-04-04T19:00:00.0;7.0937;1.6686;0.0758;1.5928;1.9730
2024-04-04T19:00:00.0/2024-04-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T20:00:00.0/2024-04-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T21:00:00.0/2024-04-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T22:00:00.0/2024-04-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-04T23:00:00.0/2024-04-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T00:00:00.0/2024-04-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T01:00:00.0/2024-04-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T02:00:00.0/2024-04-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T03:00:00.0/2024-04-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T04:00:00.0/2024-04-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T05:00:00.0/2024-04-05T06:00:00.0;7.5109;1.7576;0.0759;1.6817;1.8885
2024-04-05T06:00:00.0/2024-04-05T07:00:00.0;224.4622;94.9235;28.8865;66.0370;144.1445
2024-04-05T07:00:00.0/2024-04-05T08:00:00.0;525.3804;308.4830;157.0602;151.4228;397.1624
2024-04-05T08:00:00.0/2024-04-05T09:00:00.0;795.1673;536.2024;327.5644;208.6380;558.0343
2024-04-05T09:00:00.0/2024-04-05T10:00:00.0;1015.4515;726.9391;475.6841;251.2550;636.8554
2024-04-05T10:00:00.0/2024-04-05T11:00:00.0;1171.2365;862.9887;581.3976;281.5912;675.5611
2024-04-05T11:00:00.0/2024-04-05T12:00:00.0;1251.9232;930.0258;625.0727;304.9531;679.7357
2024-04-05T12:00:00.0/2024-04-05T13:00:00.0;1252.0320;920.1942;599.1849;321.0093;651.3654
2024-04-05T13:00:00.0/2024-04-05T14:00:00.0;1171.5760;837.5526;518.4240;319.1287;601.8086
2024-04-05T14:00:00.0/2024-04-05T15:00:00.0;1016.0596;690.3961;393.2188;297.1773;525.4108
2024-04-05T15:00:00.0/2024-04-05T16:00:00.0;796.1023;494.2814;244.8995;249.3819;415.2334
2024-04-05T16:00:00.0/2024-04-05T17:00:00.0;526.7141;273.0063;101.1183;171.8880;252.6297
2024-04-05T17:00:00.0/2024-04-05T18:00:00.0;226.2717;81.7128;14.2793;67.4335;68.7487
2024-04-05T18:00:00.0/2024-04-05T19:00:00.0;7.9881;1.6869;0.0330;1.6539;0.7745
2024-04-05T19:00:00.0/2024-04-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T20:00:00.0/2024-04-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T21:00:00.0/2024-04-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T22:00:00.0/2024-04-05T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-05T23:00:00.0/2024-04-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T00:00:00.0/2024-04-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T01:00:00.0/2024-04-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T02:00:00.0/2024-04-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T03:00:00.0/2024-04-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T04:00:00.0/2024-04-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T05:00:00.0/2024-04-06T06:00:00.0;8.4423;2.0240;0.1005;1.9235;2.4312
2024-04-06T06:00:00.0/2024-04-06T07:00:00.0;228.3956;99.5321;32.8160;66.7160;162.1403
2024-04-06T07:00:00.0/2024-04-06T08:00:00.0;528.9170;318.2775;171.8036;146.4739;431.7809
2024-04-06T08:00:00.0/2024-04-06T09:00:00.0;798.3471;550.8961;356.5894;194.3067;604.4971
2024-04-06T09:00:00.0/2024-04-06T10:00:00.0;1018.3389;748.5696;525.6619;222.9078;701.1885
2024-04-06T10:00:00.0/2024-04-06T11:00:00.0;1173.9156;891.3890;653.5400;237.8490;757.0977
2024-04-06T11:00:00.0/2024-04-06T12:00:00.0;1254.4928;964.5444;717.7783;246.7660;778.4485
2024-04-06T12:00:00.0/2024-04-06T13:00:00.0;1254.5984;959.8439;705.1899;254.6541;764.6419
2024-04-06T13:00:00.0/2024-04-06T14:00:00.0;1174.2458;881.9751;628.3503;253.6248;727.5672
2024-04-06T14:00:00.0/2024-04-06T15:00:00.0;1018.9328;737.3361;496.7879;240.5482;661.9998
2024-04-06T15:00:00.0/2024-04-06T16:00:00.0;799.2651;538.7138;328.1895;210.5243;555.1037
2024-04-06T16:00:00.0/2024-04-06T17:00:00.0;530.2332;308.3275;152.1470;156.1806;380.4123
2024-04-06T17:00:00.0/2024-04-06T18:00:00.0;230.1892;96.2013;27.1811;69.0201;132.4977
2024-04-06T18:00:00.0/2024-04-06T19:00:00.0;8.9802;2.1229;0.0870;2.0359;1.9909
2024-04-06T19:00:00.0/2024-04-06T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T20:00:00.0/2024-04-06T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T21:00:00.0/2024-04-06T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T22:00:00.0/2024-04-06T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-06T23:00:00.0/2024-04-07T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-07T00:00:00.0/2024-04-07T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-07T01:00:00.0/2024-04-07T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-07T02:00:00.0/2024-04-07T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-07T03:00:00.0/2024-04-07T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-07T04:00:00.0/2024-04-07T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2024-04-07T05:00:00.0/2024-04-07T06:00:00.0;9.4818;2.7954;0.4427;2.3527;10.3189
2024-04-07T06:00:00.0/2024-04-07T07:00:00.0;232.2940;126.3318;71.1348;55.1971;365.6445
2024-04-07T07:00:00.0/2024-04-07T08:00:00.0;532.4061;368.9284;270.0879;98.8406;680.7201
2024-04-07T08:00:00.0/2024-04-07T09:00:00.0;801.4682;608.1639;485.8674;122.2966;822.0737
2024-04-07T09:00:00.0/2024-04-07T10:00:00.0;1021.1581;806.8545;666.5095;140.3450;886.8267
2024-04-07T10:00:00.0/2024-04-07T11:00:00.0;1176.5204;948.9519;796.0670;152.8849;919.8726
2024-04-07T11:00:00.0/2024-04-07T12:00:00.0;1256.9849;1020.4262;855.7158;164.7104;925.7048
2024-04-07T12:00:00.0/2024-04-07T13:00:00.0;1257.0874;1013.1799;834.2112;178.9687;902.2244
